"TimeStamp","Source","Destination","IPV4Address","Status","ResponseTime"
"11-09-2013 18:21:19","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:21:20","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:21:21","PRALAY-PC","59.144.127.16",,"","50"
"11-09-2013 18:21:22","PRALAY-PC","59.144.127.16",,"","48"
"11-09-2013 18:21:23","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:21:24","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:21:25","PRALAY-PC","59.144.127.16",,"","49"
"11-09-2013 18:21:26","PRALAY-PC","59.144.127.16",,"","51"
"11-09-2013 18:21:28","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:21:29","PRALAY-PC","59.144.127.16",,"","51"
"11-09-2013 18:21:30","PRALAY-PC","59.144.127.16",,"","51"
"11-09-2013 18:21:31","PRALAY-PC","59.144.127.16",,"","49"
"11-09-2013 18:21:32","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:21:34","PRALAY-PC","59.144.127.16",,"","506"
"11-09-2013 18:21:35","PRALAY-PC","59.144.127.16",,"","49"
"11-09-2013 18:21:36","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:21:37","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:21:38","PRALAY-PC","59.144.127.16",,"","50"
"11-09-2013 18:21:39","PRALAY-PC","59.144.127.16",,"","53"
"11-09-2013 18:21:40","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:21:41","PRALAY-PC","59.144.127.16",,"","51"
"11-09-2013 18:21:43","PRALAY-PC","59.144.127.16",,"","51"
"11-09-2013 18:21:44","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:21:49","PRALAY-PC","59.144.127.16",,"Failed",
"11-09-2013 18:21:50","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:21:51","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:21:52","PRALAY-PC","59.144.127.16",,"","55"
"11-09-2013 18:21:53","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:21:54","PRALAY-PC","59.144.127.16",,"","48"
"11-09-2013 18:21:55","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:21:56","PRALAY-PC","59.144.127.16",,"","50"
"11-09-2013 18:21:57","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:21:58","PRALAY-PC","59.144.127.16",,"","51"
"11-09-2013 18:22:00","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:22:01","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:22:02","PRALAY-PC","59.144.127.16",,"","50"
"11-09-2013 18:22:03","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:22:04","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:22:05","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:22:06","PRALAY-PC","59.144.127.16",,"","50"
"11-09-2013 18:22:07","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:22:08","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:22:10","PRALAY-PC","59.144.127.16",,"","715"
"11-09-2013 18:22:11","PRALAY-PC","59.144.127.16",,"","49"
"11-09-2013 18:22:12","PRALAY-PC","59.144.127.16",,"","48"
"11-09-2013 18:22:13","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:22:15","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:22:16","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:22:17","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:22:18","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:22:19","PRALAY-PC","59.144.127.16",,"","50"
"11-09-2013 18:22:20","PRALAY-PC","59.144.127.16",,"","49"
"11-09-2013 18:22:21","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:22:22","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:22:24","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:22:25","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:22:26","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:22:27","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:22:28","PRALAY-PC","59.144.127.16",,"","56"
"11-09-2013 18:22:29","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:22:30","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:22:31","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:22:32","PRALAY-PC","59.144.127.16",,"","50"
"11-09-2013 18:22:34","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:22:35","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:22:36","PRALAY-PC","59.144.127.16",,"","55"
"11-09-2013 18:22:37","PRALAY-PC","59.144.127.16",,"","50"
