"TimeStamp","Source","Destination","IPV4Address","Status","ResponseTime"
"11-09-2013 18:07:57","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:07:59","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:08:06","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:08:07","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:08:19","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:08:20","PRALAY-PC","59.144.127.16",,"","52"
"11-09-2013 18:08:21","PRALAY-PC","59.144.127.16",,"","50"
"11-09-2013 18:08:23","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:08:24","PRALAY-PC","59.144.127.16",,"","52"
"11-09-2013 18:08:25","PRALAY-PC","59.144.127.16",,"","48"
"11-09-2013 18:08:26","PRALAY-PC","59.144.127.16",,"","109"
"11-09-2013 18:08:27","PRALAY-PC","59.144.127.16",,"","57"
"11-09-2013 18:08:28","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:08:29","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:08:31","PRALAY-PC","59.144.127.16",,"","64"
"11-09-2013 18:08:32","PRALAY-PC","59.144.127.16",,"","52"
"11-09-2013 18:08:33","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:08:34","PRALAY-PC","59.144.127.16",,"","50"
"11-09-2013 18:08:35","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:08:36","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:08:37","PRALAY-PC","59.144.127.16",,"","52"
"11-09-2013 18:08:39","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:08:42","PRALAY-PC","59.144.127.16",,"","50"
"11-09-2013 18:08:43","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:08:44","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:08:45","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:08:46","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:08:48","PRALAY-PC","59.144.127.16",,"","50"
"11-09-2013 18:08:49","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:08:50","PRALAY-PC","59.144.127.16",,"","50"
"11-09-2013 18:08:51","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:08:52","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:08:53","PRALAY-PC","59.144.127.16",,"","49"
"11-09-2013 18:08:54","PRALAY-PC","59.144.127.16",,"","50"
"11-09-2013 18:08:56","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:08:57","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:08:58","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:08:59","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:09:00","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:09:01","PRALAY-PC","59.144.127.16",,"","51"
"11-09-2013 18:09:02","PRALAY-PC","59.144.127.16",,"","49"
"11-09-2013 18:09:03","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:09:05","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:09:06","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:09:07","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:09:08","PRALAY-PC","59.144.127.16",,"","56"
"11-09-2013 18:09:09","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:09:10","PRALAY-PC","59.144.127.16",,"","48"
"11-09-2013 18:09:11","PRALAY-PC","59.144.127.16",,"","48"
"11-09-2013 18:09:12","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:09:13","PRALAY-PC","59.144.127.16",,"","52"
"11-09-2013 18:09:15","PRALAY-PC","59.144.127.16",,"","48"
"11-09-2013 18:09:16","PRALAY-PC","59.144.127.16",,"","51"
"11-09-2013 18:09:17","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:09:18","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:09:19","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:09:20","PRALAY-PC","59.144.127.16",,"","52"
"11-09-2013 18:09:21","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:09:22","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:09:24","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:09:25","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:09:26","PRALAY-PC","59.144.127.16",,"","49"
"11-09-2013 18:09:27","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:09:28","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:09:29","PRALAY-PC","59.144.127.16",,"","149"
"11-09-2013 18:09:30","PRALAY-PC","59.144.127.16",,"","61"
"11-09-2013 18:09:32","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:09:33","PRALAY-PC","59.144.127.16",,"","45"
"11-09-2013 18:09:34","PRALAY-PC","59.144.127.16",,"","49"
"11-09-2013 18:09:35","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:09:36","PRALAY-PC","59.144.127.16",,"","50"
"11-09-2013 18:09:37","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:09:39","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:09:43","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:09:44","PRALAY-PC","59.144.127.16",,"","47"
"11-09-2013 18:09:45","PRALAY-PC","59.144.127.16",,"","46"
"11-09-2013 18:10:18","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:10:24","PRALAY-PC","192.168.1.1","192.168.1.1","","4"
"11-09-2013 18:10:30","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
